#MASTER VARIABLE MAP
#cmip_variable,definable_in_access,access_variable(s),calculation,units,axes_modifier,positive,ACCESS_ver[CM2/ESM/both],realm,notes
#
#...aerosol...
nLand,yes,fld_s03i861 fld_s03i862 fld_s03i863 fld_s03i864 fld_s03i865 fld_s03i866 fld_s03i867 fld_s03i868 fld_s03i869 fld_s03i870 fld_s03i317,"tileAve(var[0]+var[1]+var[2]+var[3]+var[4]+var[5]+var[6]+var[7]+var[8]+var[9],var[10],1)",g m-2,dropLev,,ESM,land,
nLitter,yes,fld_s03i864 fld_s03i865 fld_s03i866 fld_s03i317,"tileAve(var[0]+var[1]+var[2],var[3],1)",g m-2,dropLev,,ESM,land,
nMineral,yes,fld_s03i870 fld_s03i317,"tileAve(var[0],var[1],1)",g m-2,dropLev,,ESM,land,
npp,yes,fld_s03i262,,kg m-2 s-1,,down,ESM,land,
nSoil,yes,fld_s03i867 fld_s03i868 fld_s03i869 fld_s03i870 fld_s03i317,"tileAve(var[0]+var[1]+var[2]+var[3],var[4],1)",g m-2,dropLev,,both,land,
nVeg,yes,fld_s03i861 fld_s03i862 fld_s03i863 fld_s03i317,"tileAve(var[0]+var[1]+var[2],var[3],1)",g m-2,dropLev,,both,land,
nwdFracLut,yes,fld_s03i317,"fracLut(var[0],1).filled(0)",1,landUse typenwd,,both,land,
orog,yes,fld_s00i033,,m,,,both,land,
ra,yes,fld_s03i263,,kg m-2 s-1,,up,ESM,land,
residualFrac,yes,fld_s03i317,"tileFracExtract(var[0],[15,16,17]).filled(0)",1,typeresidual,,both,land,
rh,yes,fld_s03i293,,kg m-2 s-1,,up,ESM,land,
sftgif,yes,fld_s03i317,"tileFracExtract(var[0],17)",1,dropLev,,both,land,
shrubFrac,yes,fld_s03i317,"tileFracExtract(var[0],[5,8]).filled(0)",1,typeshrub,,both,land,
treeFrac,yes,fld_s03i317,"tileFracExtract(var[0],[1,2,3,4]).filled(0)",1,typetree,,both,land,
treeFracBdlDcd,yes,fld_s03i317,"tileFracExtract(var[0],4).filled(0)",1,typetreebd,,both,land,
treeFracBdlEvg,yes,fld_s03i317,"tileFracExtract(var[0],2).filled(0)",1,typetreebe,,both,land,
treeFracNdlDcd,yes,fld_s03i317,"tileFracExtract(var[0],3).filled(0)",1,typetreend,,both,land,
treeFracNdlEvg,yes,fld_s03i317,"tileFracExtract(var[0],1).filled(0)",1,typetreene,,both,land,
tsl,yes,fld_s08i225,,K,,,both,land,
vegFrac,yes,fld_s03i317,"tileFracExtract(var[0],[1,2,3,4,5,6,7,8,9,10,11,12,13]).filled(0)",1,typeveg,,both,land,
vegHeight,yes,fld_s03i319 fld_s03i317,"tileAve(var[0],var[1],1)",m,dropLev,,ESM,land,
wetlandFrac,yes,fld_s03i317,"tileFracExtract(var[0],11).filled(0)",1,typewetla,,both,land,
landCoverFrac,yes,fld_s03i317,(var[0]*landFrac(144)).filled(0),1,vegtype dropLev,,CM2,land,
landCoverFrac,yes,fld_s03i317,(var[0]*landFrac(145)).filled(0),1,vegtype dropLev,,ESM,land,
nProduct,yes,fld_s03i901 fld_s03i902 fld_s03i903 fld_s03i317,"tileAve(var[0]+var[1]+var[2],var[3],1)",g m-2,dropLev,,ESM,land,foresty only no agriculture
cProduct,yes,fld_s03i898 fld_s03i899 fld_s03i900,"tileSum(var[0]+var[1]+var[2],1)",g m-2,dropLev,,ESM,land,foresty only no agriculture
fBNF,yes,fld_s03i885 fld_s03i317,"tileAve(var[0],var[1],1)",g m-2 day-1,dropLev,,ESM,land,
fProductDecomp,yes,fld_s03i907 fld_s03i908 fld_s03i909,"tileSum(var[0]+var[1]+var[2],1)",g m-2 yr-1,dropLev,,ESM,land,
fDeforestToProduct,yes,fld_s03i895,"tileSum(var[0],1)",g m-2 yr-1,dropLev,,ESM,land,
#
#...landIce...
sbl,yes,fld_s03i298,,kg m-2 s-1,,,both,landIce,
sbl,yes,fld_s03i331 fld_s03i317,"tileAve(var[0],var[1],0)",kg m-2 s-1,dropLev LImon,,CM2,landIce,
hfdsn,yes,fld_s08i202,,W m-2,,down,ESM,both,landIce,
snw,yes,fld_s08i236 fld_s03i317,"tileAve(var[0],var[1],0)",kg m-2,dropLev,,ESM,landIce,
snw,yes,fld_s08i236,"tileAve(var[0],'317',0)",kg m-2,dropLev,,CM2,landIce,
snm,yes,fld_s08i237 fld_s03i317,"tileAve(var[0],var[1],0)",kg m-2 s-1,dropLev,,both,landIce,
#
#...ocean...
agessc,yes,age_global,,yr,,,both,ocean,
areacello,yes,area_t ht,"calc_areacello(var[0],var[1])",m2,,,both,ocean,
basin,yes,ht,getBasinMask().filled(0),1,,,both,ocean,
deptho,yes,ht,,m,,,both,ocean,
evs,yes,evap,var[0]*-1,kg m-2 s-1,,,both,ocean,
friver,yes,runoff,,kg m-2 s-1,,,both,ocean,
fsitherm,yes,melt,var[0]*(-1),kg m-2 s-1,,,both,ocean seaIce,
hfds,yes,sfc_hflux_from_runoff sfc_hflux_coupler sfc_hflux_from_water_evap sfc_hflux_from_water_prec frazil_2d,var[0]+var[1]+var[2]+var[3]+var[4],W m-2,,,both,ocean,
hfevapds,yes,sfc_hflux_from_water_evap,,W m-2,,,both,ocean,
hfrainds,yes,sfc_hflux_from_water_prec,,W m-2,,,both,ocean,
masscello,yes,rho_dzt,,kg m-2,,,both,ocean,
masso,yes,total_mass_seawater,,kg,scalar dropX,,both,ocean,
mfo,yes,tx_trans ty_trans,"lineTransports(var[0],var[1])",kg s-1,oline dropX dropY dropZ,,both,ocean,
mlotst,yes,mld,,m,,,both,ocean,
msftbarot,yes,psiu tx_trans,"msftbarot(var[0],var[1])",kg s-1,,,both,ocean,
pbo,yes,pbot_t,,dbar,,,both,ocean,
prra,yes,lprec,,kg m-2 s-1,,,both,ocean,
prsn,yes,fprec,,kg m-2 s-1,,,both,ocean,
pso,yes,patm_t,,Pa,,,both,ocean,
rsntds,yes,swflx,,W m-2,,,both,ocean,
sftof,yes,ht,oceanFrac(),1,,,both,ocean,
so,yes,salt,,psu,,,both,ocean,
soga,yes,salt_global_ave,,psu,scalar dropX,,both,ocean,
sos,yes,sss,,psu,,,both,ocean,
sossq,yes,sss_sq,,psu2,,,both,ocean,
tauuo,yes,tau_x,,N m-2,,,both,ocean,
tauvo,yes,tau_y,,N m-2,,,both,ocean,
thetao,yes,pot_temp,,degC,,,both,ocean,
thetaoga,yes,pot_temp rho_dzt area_t,"calc_global_ave_ocean(var[0],var[1],var[2])",degC,dropX dropY dropZ,,both,ocean,
thkcello,yes,dht,,m,,,both,ocean,
tos,yes,fld_s00i507,"tos_3hr(var[0])",degC,3hr,,both,atmos,
tos,yes,sst,"tos_degC(var[0])",degC,,,both,ocean,
tossq,yes,sst_sq,,degC2,,,both,ocean,
tosga,yes,sst rho_dzt area_t,"tos_degC(calc_global_ave_ocean(var[0],var[1],var[2]))",degC,dropX dropY dropZ,,both,ocean,
umo,yes,tx_trans,,kg s-1,,,both,ocean,
uo,yes,u,,m s-1,,,both,ocean,
vmo,yes,ty_trans,,kg s-1,,,both,ocean,
vo,yes,v,,m s-1,,,both,ocean,
volcello,yes,dht area_t,var[0]*var[1],m3,,,both,ocean,
volo,yes,total_volume_seawater,,m3,scalar dropX,,both,ocean,
#wfonocorr,no,lprec fprec evap runoff,var[0]+var[1]+var[2]+var[3],kg m-2 s-1,,,both,ocean,
#wfcorr,no,lprec fprec evap runoff pme_river,var[0]+var[1]+var[2]+var[3]-var[4],kg m-2 s-1,,down,both,ocean,
wfo,yes,pme_river,,kg m-2 s-1,,,both,ocean,
wmo,yes,tz_trans,,kg s-1,,,both,ocean,
wo,yes,wt,,m s-1,,,both,ocean,
zos,yes,sea_level,,m,,,both,ocean,
zossq,yes,sea_level_sq,,m2,,,both,ocean,
zostoga,yes,pot_temp dht area_t,"calc_zostoga(var,depth,lat)",m,dropX dropY dropZ,,both,ocean,
sosga,yes,salt_surface_ave,,psu,scalar dropX,,both,ocean,
sob,yes,bottom_salt,,psu,,,both,ocean,
obvfsq,yes,bv_freq,var[0]**2,s-2,,,both,ocean,
omldamax,yes,hblt_max,,m,,,both,ocean,
bigthetao,yes,temp,,K,,,both,ocean,
bigthetaoga,yes,temp rho_dzt area_t,"calc_global_ave_ocean(var[0],var[1],var[2])",K,dropX dropY dropZ,,both,ocean,
cfc11,yes,cfc_11,,mol m-3,,,both,ocean,
cfc12,yes,cfc_12,,mol m-3,,,both,ocean,
diftrelo,yes,agm,,m2 s-1,,,both,ocean,
difvho,yes,diff_cbt_t,,m2 s-1,,,both,ocean,
difvmo,yes,visc_cbu,,m2 s-1,,,both,ocean,
difvso,yes,diff_cbt_s,,m2 s-1,,,both,ocean,
fgcfc12,yes,sfc_flux_cfc_12,,mol m-2 s-1,,,both,ocean,
hfbasin,yes,temp_adv_flux_y_int_z,hfbasin(var),W,dropX basin,,both,ocean,
hfbasinpadv,yes,temp_yflux_gm_modes_int_z,hfbasin(var),W,dropX basin,,both,ocean,
hfbasinpmadv,yes,temp_yflux_submeso_int_z,hfbasin(var),W,dropX basin,,both,ocean,
hfbasinpmdiff,yes,temp_sigma_diff_yflux_int_z,hfbasin(var),W,dropX basin,,both,ocean,
hfcorr,yes,ehat_flux_correction,,W m-2,,,both,ocean,
#hfgeou,yes,geo_heat,,W m-2,,,both,ocean,
hflso,yes,evap_heat,,W m-2,,,both,ocean,
hfsso,yes,sens_heat,,W m-2,,,both,ocean,
htovgyre,yes,temp_merid_flux_gyre_global temp_merid_flux_gyre_atlantic temp_merid_flux_gyre_arctic temp_merid_flux_gyre_pacific temp_merid_flux_gyre_indian,basinMeridFlux(var),W,dropX basin,,both,ocean,
htovovrt,yes,temp_merid_flux_over_global temp_merid_flux_over_atlantic temp_merid_flux_over_arctic temp_merid_flux_over_pacific temp_merid_flux_over_indian,basinMeridFlux(var),W,dropX basin,,both,ocean,
sltovgyre,yes,salt_merid_flux_gyre_global salt_merid_flux_gyre_atlantic salt_merid_flux_gyre_arctic salt_merid_flux_gyre_pacific salt_merid_flux_gyre_indian,basinMeridFlux(var),kg/sec,dropX basin,,both,ocean,
sltovovrt,yes,salt_merid_flux_over_global salt_merid_flux_over_atlantic salt_merid_flux_over_arctic salt_merid_flux_over_pacific salt_merid_flux_over_indian,basinMeridFlux(var),kg/sec,dropX basin,,both,ocean,
rlntds,yes,lw_heat,,W/m^2,,,both,ocean,
hfsifrazil,yes,frazil_3d,,W m-2,,,both,ocean seaIce,
hfsifrazil2d,yes,frazil_2d,,W m-2,,,both,ocean seaIce,
msftyrho,yes,ty_trans_rho ty_trans_rho_gm,"meridionalOverturning(var,'full')",kg s-1,dropX basin gridlat,,both,ocean,
msftmrho,yes,ty_trans_rho ty_trans_rho_gm,"meridionalOverturning(var,'full')",kg s-1,dropX basin,,both,ocean,
msftyz,yes,ty_trans ty_trans_gm ty_trans_submeso,"meridionalOverturning(var,'full')",kg s-1,dropX basin gridlat,,both,ocean,
msftmz,yes,ty_trans ty_trans_gm ty_trans_submeso,"meridionalOverturning(var,'full')",kg s-1,dropX basin,,both,ocean,
#sfdsi,no,sfc_salt_flux_ice,,kg m-2 s-1,,,both,ocean,also in SImon
sfriver,yes,sfc_salt_flux_runoff,,kg m-2 s-1,,,both,ocean,
ocontemptend,yes,temp_tendency,,W m-2,,,both,ocean,
osalttend,yes,salt_tendency,,kg s-1 m-2,,,both,ocean,
ocontempmint,yes,temp pot_rho_0 dht,"ocndepthint(var[0],var[1],var[2])",degC kg m-2,dropZ,,both,ocean,
opottempmint,yes,pot_temp pot_rho_0 dht,"ocndepthint(var[0],var[1],var[2])",degC kg m-2,dropZ,,both,ocean,
somint,yes,salt pot_rho_0 dht,"ocndepthint(var[0],var[1],var[2])",g m-2,dropZ,,both,ocean,
ocontempdiff,yes,temp_vdiffuse_impl,,W m-2,,,both,ocean,includes convection
ocontemppadvect,yes,neutral_gm_temp,,W m-2,,,both,ocean,
ocontemppmdiff,yes,neutral_diffusion_temp,,W m-2,,,both,ocean,
osaltdiff,yes,salt_vdiffuse_impl,,kg m-2 s-1,,,both,ocean,includes convection
osaltpadvect,yes,neutral_gm_salt,,kg m-2 s-1,,,both,ocean,
osaltpmdiff,yes,neutral_diffusion_salt,,kg m-2 s-1,,,both,ocean,
ocontemppsmadvect,yes,temp_submeso,,W m-2,,,both,ocean,
osaltpsmadvect,yes,salt_submeso,,kg m-2 s-1,,,both,ocean,
rsdoabsorb,yes,sw_heat swflx,"calcrsdoabsorb(var[0],var[1])",W m-2,,,both,ocean,
pabigthetao,yes,added_heat,,degC,,,both,ocean,
prbigthetao,yes,redist_heat,,degC,,,both,ocean,
ocontemprmadvect,yes,temp_sweby_advec neutral_gm_temp temp_submeso,var[0]+var[1]+var[2],W m-2,,,both,ocean,
osaltrmadvect,yes,salt_sweby_advec neutral_gm_salt salt_submeso,var[0]+var[1]+var[2],kg m-2 s-1,,,both,ocean,
#ocontemprmadvect,yes,temp_vdiffuse_impl temp_vdiffuse_diff_cbt_conv temp_nonlocal_KPP neutral_gm_temp neutral_diffusion_temp temp_submeso mixdownslope_temp temp_rivermix temp_sigma_diff temp_tendency sw_heat frazil_3d sfc_hflux_pme temp_eta_smooth,"ocnrmadvect_offine(var,'temp')",W m-2,,,both,ocean,offline calculation
#osaltrmadvect,yes,salt_vdiffuse_impl salt_vdiffuse_diff_cbt_conv salt_nonlocal_KPP neutral_gm_salt neutral_diffusion_salt salt_submeso mixdownslope_salt salt_rivermix salt_sigma_diff salt_tendency,"ocnrmadvect_offine(var,'salt')",kg m-2 s-1,,,both,ocean,offline calculation
tob,yes,pot_temp,"ocean_floor(var[0])",degC,dropZ,,both,ocean,
#
#...seaIce...
#sfdsi,no,siflsaltbot,,kg m-2 s-1,,down,CM2,seaIce,also in Omon
#sfdsi,no,fsalt_ai aice,"maskSeaIce(var[0],var[1])",kg m-2 s-1,,down,ESM,seaIce,also in Omon
siconc,yes,aice,,1,,,both,seaIce,
siconca,yes,fld_s00i031,,1,,,both,seaIce,
sivol,yes,hi,,m,,,both,seaIce,
siarean,yes,aice tarea TLAT,"calc_hemi_seaice_area_vol(var[0],var[1],var[2],'north')",m2,dropX dropY,,both,seaIce,
siareas,yes,aice tarea TLAT,"calc_hemi_seaice_area_vol(var[0],var[1],var[2],'south')",m2,dropX dropY,,both,seaIce,
sivoln,yes,hi tarea TLAT,"calc_hemi_seaice_area_vol(var[0],var[1],var[2],'north')",m3,dropX dropY,,both,seaIce,
